Amptek detectors with C1 and C2 windows for 500 micron active depth				
				
Efficiency versus energy for 2 windows				
"For each window, the first column is total attenuation, the second is the photofraction"				
Data computed using NIST attenutation values (physics.nist.gov) and nominal device specifications				
"For more information, visit www.amptek.com"				
				
Window	C1		C2	
Detector	500 microns Si		500 microns Si	
				
Energy	Total Atten	P.E. Atten	Total Atten	P.E. Atten
keV				
1.10E+01	9.33E-01	9.29E-01	9.30E-01	9.25E-01
1.18E+01	8.97E-01	8.90E-01	8.94E-01	8.87E-01
1.26E+01	8.48E-01	8.38E-01	8.46E-01	8.36E-01
1.35E+01	7.90E-01	7.76E-01	7.88E-01	7.74E-01
1.44E+01	7.24E-01	7.07E-01	7.23E-01	7.06E-01
1.54E+01	6.54E-01	6.34E-01	6.53E-01	6.33E-01
1.65E+01	5.83E-01	5.61E-01	5.83E-01	5.60E-01
1.76E+01	5.15E-01	4.90E-01	5.14E-01	4.89E-01
1.88E+01	4.50E-01	4.23E-01	4.49E-01	4.23E-01
2.01E+01	3.90E-01	3.62E-01	3.90E-01	3.62E-01
2.15E+01	3.36E-01	3.08E-01	3.36E-01	3.08E-01
2.30E+01	2.89E-01	2.60E-01	2.88E-01	2.59E-01
2.46E+01	2.47E-01	2.18E-01	2.47E-01	2.18E-01
2.63E+01	2.11E-01	1.82E-01	2.11E-01	1.82E-01
2.81E+01	1.79E-01	1.51E-01	1.79E-01	1.51E-01
3.00E+01	1.52E-01	1.24E-01	1.52E-01	1.24E-01
3.21E+01	1.30E-01	1.02E-01	1.30E-01	1.02E-01
3.43E+01	1.11E-01	8.36E-02	1.11E-01	8.36E-02
3.67E+01	9.49E-02	6.84E-02	9.48E-02	6.84E-02
3.92E+01	8.17E-02	5.59E-02	8.17E-02	5.59E-02
4.19E+01	7.06E-02	4.54E-02	7.05E-02	4.54E-02
4.48E+01	6.14E-02	3.69E-02	6.14E-02	3.69E-02
4.79E+01	5.38E-02	2.99E-02	5.38E-02	2.99E-02
5.12E+01	4.75E-02	2.42E-02	4.75E-02	2.42E-02
5.47E+01	4.23E-02	1.96E-02	4.23E-02	1.96E-02
5.85E+01	3.80E-02	1.59E-02	3.80E-02	1.59E-02
6.25E+01	3.45E-02	1.29E-02	3.45E-02	1.29E-02
6.68E+01	3.15E-02	1.04E-02	3.15E-02	1.04E-02
7.15E+01	2.90E-02	8.42E-03	2.90E-02	8.42E-03
7.64E+01	2.69E-02	6.81E-03	2.69E-02	6.81E-03
8.17E+01	2.52E-02	5.51E-03	2.52E-02	5.51E-03
8.73E+01	2.37E-02	4.45E-03	2.37E-02	4.45E-03
9.33E+01	2.24E-02	3.60E-03	2.24E-02	3.60E-03
9.98E+01	2.13E-02	2.91E-03	2.13E-02	2.91E-03
				
				
				
				
				
				
