Photon Energy (keV),Silicon k escape probability,Silicon l 2s escape probability,Silicon l 2p escape probability
0.9499999787658453,0.000000000000000,5.10281e-05,0.000864274
0.9599999785423279,0.000000000000000,5.00169e-05,0.000840821
0.9699999783188105,0.000000000000000,4.90054e-05,0.000817266
0.9799999780952930,0.000000000000000,4.79938e-05,0.000793606
0.9899999778717756,0.000000000000000,4.69819e-05,0.000769842
0.9999999776482582,0.000000000000000,4.59699e-05,0.000745973
1.009999977424741,0.000000000000000,4.50841e-05,0.000726297
1.019999977201223,0.000000000000000,4.41981e-05,0.000706550
1.029999976977706,0.000000000000000,4.33120e-05,0.000686730
1.039999976754189,0.000000000000000,4.24258e-05,0.000666837
1.049999976530671,0.000000000000000,4.15924e-05,0.000648544
1.059999976307154,0.000000000000000,4.08238e-05,0.000632380
1.069999976083636,0.000000000000000,4.00550e-05,0.000616167
1.079999975860119,0.000000000000000,3.92862e-05,0.000599906
1.089999975636601,0.000000000000000,3.85172e-05,0.000583595
1.099999975413084,0.000000000000000,3.77481e-05,0.000567236
1.109999975189567,0.000000000000000,3.70624e-05,0.000553404
1.119999974966049,0.000000000000000,3.63766e-05,0.000539537
1.129999974742532,0.000000000000000,3.56908e-05,0.000525634
1.139999974519014,0.000000000000000,3.50048e-05,0.000511696
1.149999974295497,0.000000000000000,3.43188e-05,0.000497722
1.159999974071980,0.000000000000000,3.37073e-05,0.000485716
1.169999973848462,0.000000000000000,3.30957e-05,0.000473684
1.179999973624945,0.000000000000000,3.24840e-05,0.000461625
1.189999973401427,0.000000000000000,3.18723e-05,0.000449539
1.199999973177910,0.000000000000000,3.12605e-05,0.000437427
1.209999972954392,0.000000000000000,3.07172e-05,0.000427007
1.219999972730875,0.000000000000000,3.01740e-05,0.000416568
1.229999972507358,0.000000000000000,2.96307e-05,0.000406109
1.239999972283840,0.000000000000000,2.90873e-05,0.000395629
1.249999972060323,0.000000000000000,2.85439e-05,0.000385130
1.259999971836805,0.000000000000000,2.80599e-05,0.000375784
1.269999971613288,0.000000000000000,2.75836e-05,0.000366884
1.279999971389771,0.000000000000000,2.71073e-05,0.000357971
1.289999971166253,0.000000000000000,2.66310e-05,0.000349042
1.299999970942736,0.000000000000000,2.61546e-05,0.000340100
1.309999970719218,0.000000000000000,2.57363e-05,0.000332526
1.319999970495701,0.000000000000000,2.53181e-05,0.000324942
1.329999970272183,0.000000000000000,2.48998e-05,0.000317348
1.339999970048666,0.000000000000000,2.44814e-05,0.000309744
1.349999969825149,0.000000000000000,2.40631e-05,0.000302128
1.359999969601631,0.000000000000000,2.36955e-05,0.000295716
1.369999969378114,0.000000000000000,2.33279e-05,0.000289296
1.379999969154596,0.000000000000000,2.29603e-05,0.000282868
1.389999968931079,0.000000000000000,2.25926e-05,0.000276433
1.399999968707561,0.000000000000000,2.22249e-05,0.000269991
1.409999968484044,0.000000000000000,2.19021e-05,0.000264524
1.419999968260527,0.000000000000000,2.15792e-05,0.000259053
1.429999968037009,0.000000000000000,2.12563e-05,0.000253575
1.439999967813492,0.000000000000000,2.09334e-05,0.000248093
1.449999967589974,0.000000000000000,2.06104e-05,0.000242605
1.459999967366457,0.000000000000000,2.03122e-05,0.000237746
1.469999967142940,0.000000000000000,2.00140e-05,0.000232883
1.479999966919422,0.000000000000000,1.97158e-05,0.000228016
1.489999966695905,0.000000000000000,1.94202e-05,0.000223242
1.499999966472387,0.000000000000000,1.91301e-05,0.000218655
1.509999966248870,0.000000000000000,1.88399e-05,0.000214065
1.519999966025352,0.000000000000000,1.85497e-05,0.000209470
1.529999965801835,0.000000000000000,1.82595e-05,0.000204872
1.539999965578318,0.000000000000000,1.79693e-05,0.000200269
1.549999965354800,0.000000000000000,1.76790e-05,0.000195663
1.559999965131283,0.000000000000000,1.73888e-05,0.000191054
1.569999964907765,0.000000000000000,1.70985e-05,0.000186440
1.579999964684248,0.000000000000000,1.68082e-05,0.000181823
1.589999964460731,0.000000000000000,1.65179e-05,0.000177201
1.599999964237213,0.000000000000000,1.62276e-05,0.000172576
1.609999964013696,0.000000000000000,1.59373e-05,0.000167947
1.619999963790178,0.000000000000000,1.56470e-05,0.000163314
1.629999963566661,0.000000000000000,1.53566e-05,0.000158678
1.639999963343143,0.000000000000000,1.50662e-05,0.000154037
1.649999963119626,0.000000000000000,1.47758e-05,0.000149393
1.659999962896109,0.000000000000000,1.44854e-05,0.000144745
1.669999962672591,0.000000000000000,1.41950e-05,0.000140092
1.679999962449074,0.000000000000000,1.39046e-05,0.000135436
1.689999962225556,0.000000000000000,1.36141e-05,0.000130777
1.699999962002039,0.000000000000000,1.33237e-05,0.000126113
1.709999961778522,0.000000000000000,1.30332e-05,0.000121445
1.719999961555004,0.000000000000000,1.27427e-05,0.000116773
